Teekyuu 9,"Bandou, Marimo"
,
Tenki no Ko,"Sakura, Kana"
,
Tenshi no 3P!,"Ogi, Koume"
,
The iDOLM@STER,"Mizutani, Eri"
,
To LOVE-Ru,"Yuuki, Mikan"
,
To LOVE-Ru Darkness,"Yuuki, Mikan"
,
To LOVE-Ru Darkness 2nd,"Yuuki, Mikan"
,
To LOVE-Ru Darkness OVA,"Yuuki, Mikan"
,
To LOVE-Ru OVA,"Yuuki, Mikan"
,
Toaru Kagaku no Railgun,"Haruue, Erii"
,
Toaru Kagaku no Railgun S,"Haruue, Erii"
,
Tokimeki Memorial 4 OVA,"Kyouno, Rhythmy"
,
Tokyo Ghoul,"Kamishiro, Rize"
,
Tokyo Ghoul:re 2nd Season,"Kamishiro, Rize"
,
Tokyo Ravens,"Tsuchimikado, Natsume"
,
Tonari no Kaibutsu-kun,"Ooshima, Chizuru"
,
Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,"Ooshima, Chizuru"
,
Tonari no Seki-kun,"Yokoi, Rumi"
,
Tonari no Seki-kun OVA,"Yokoi, Rumi"
,
Tonari no Seki-kun Specials,"Yokoi, Rumi"
,
Tsurezure Children,"Minagawa, Yuki"
,
Turnover,"Yamazaki, Chizuru"
,
Uchi Tama?! Uchi no Tama Shirimasen ka?,"Hanasaki, Momo"
,
"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?","Miura, Haruko"
,
Udon no Kuni no Kiniro Kemari,"Fujiyama, Sae"
,
Usakame,"Bandou, Marimo"
,
Ushio to Tora (TV),Jiemei
,
Ushio to Tora (TV) 2nd Season,Jiemei
,
Wakaokami wa Shougakusei!,"Inada, Erika"
,
"Wake Up, Girls!",Anna
,
"Wake Up, Girls! Beyond the Bottom",Anna
,
"Wake Up, Girls! Shichinin no Idol",Anna
,
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,"Naruse, Yuu"
,
"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru","Naruse, Yuu"
,
World Trigger,"Kitora, Ai"
,
Yakimochi Caprice,Noix
,
Yamada-kun to 7-nin no Majo (TV),"Asuka, Mikoto"
,
Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai,"Asuka, Mikoto"
,
Yesterday wo Utatte,"Morinome, Shinako"
,
Yesterday wo Utatte Haishin-ban Episode,"Morinome, Shinako"
,
Yoru wa Mijikashi Arukeyo Otome,Kurokami no Otome
,
Yu☆Gi☆Oh! The Dark Side of Dimensions,Sera
,
Yutori-chan,"Tsumekomi, Shiori"
,
Yuuki Yuuna wa Yuusha de Aru,"Nogi, Sonoko"
,
